Fecha y hora,Vehiculo,Edad,Sexo,Tipo de Siniestro,Otro vehiculo,Lugar del Siniestro
31/01/2012 23:15,MOTO,20,M,COLISION ENTRE VEHICULOS,MOTO,"RUTA10 , MALDONADO"
1/2/12 4:00,MOTO,40,M,CAIDA,-,"AV. ESPA„A Y MALDONADO, CERRO LARGO"
1/2/12 20:45,PEATON,19,M,ATROPELLO DE PEATON,AUTO,"CAMINO A BARRIOS TORRES FRENTE A CANCHA DE WANDERS , ROCHA"
1/2/12 20:45,PEATON,15,F,ATROPELLO DE PEATON,AUTO,"CAMINO A BARRIOS TORRES FRENTE A CANCHA DE WANDERS , ROCHA"
2/2/12 22:10,MOTO,31,M,COLISION ENTRE VEHICULOS,CAMIONETA,"BOULEVARD APARICIO SARAVIA Nro. 5070 esq. AVENIDA BURGUES, MONTEVIDEO"
3/2/12 6:45,MOTO,38,M,COLISION ENTRE VEHICULOS,MOTO,"GERONIMO PICCIOLI Nro. 2901 esq. JUAN JACOBO ROUSSEAU, MONTEVIDEO"
4/2/12 0:45,MOTO,26,M,COLISION ENTRE VEHICULOS,CAMION,"LAVALLEJA Y A. LEGNANI, CANELONES"
4/2/12 11:00,BICICLETA,59,M,COLISION ENTRE VEHICULOS,îMNIBUS,"CALLE 10 Y MAREANTES, MALDONADO"
5/2/12 0:22,MOTO,38,M,COLISION ENTRE VEHICULOS,MOTO,"GERONIMO PICCIOLI Nro. 2901 esq. JUAN JACOBO ROUSSEAU, MONTEVIDEO"
5/2/12 6:41,MOTO,51,M,COLISION ENTRE VEHICULOS,AUTO,"RUTA 2 KM 263, SORIANO"
5/2/12 7:45,MOTO,19,M,CAIDA,-,"Camino cerro eguzquiza, MALDONADO"
5/2/12 9:15,MOTO,21,M,COLISION ENTRE VEHICULOS,CAMION,"BATLLE Y ORDO„EZ Y COUSIN - BBRUM, ARTIGAS"
5/2/12 18:15,MOTO,47,M,DESPISTE,-,"CARLOS LECUEDER  esq. AMARO FERREIRA RAMOS, ARTIGAS"
5/2/12 22:35,BICICLETA,53,M,COLISION ENTRE VEHICULOS,CAMION,"MANUEL ORIBE Nro. 1439 esq. MANUEL LAVALLEJA, TREINTA Y TRES"
6/2/12 16:27,MOTO,43,F,DESPISTE,-,"RUTA 64 KM 48, CANELONES"
7/2/12 13:30,PEATON,79,M,ATROPELLO DE PEATON,AUTO,"AVENIDA DE LOS PINOS esq. RUTA INTERBALNEARIA, CANELONES"
7/2/12 20:40,MOTO,22,M,COLISION ENTRE VEHICULOS,CAMIONETA,"AVENIDA BOLIVIA esq. AVENIDA GENERAL FLORES, CANELONES"
7/2/12 21:27,MOTO,46,M,COLISION ENTRE VEHICULOS,MOTO,"AVENIDA ROCHA Y JOAQUIN SUAREZ, MALDONADO"
8/2/12 20:35,MOTO,35,M,CAIDA,-,"CAMINO MALDONADO esq. RUBEN DARIO --FLOR DE MARO„AS--, MONTEVIDEO"
8/2/12 21:45,MOTO,62,M,COLISION ENTRE VEHICULOS,CARRO,"INSTRUCCIONES Y CON. LA ESPIGA, MONTEVIDEO"
10/2/12 22:00,MOTO,19,F,COLISION ENTRE VEHICULOS,AUTO,"RUTA INTERBALNEARIA  esq. AVENIDA SAN MARTIN, CANELONES"
11/2/12 11:40,PEATON,70,M,ATROPELLO DE PEATON,CAMIONETA,"GALICIA Nro. 1099 esq. PARAGUAY, MONTEVIDEO"
12/2/12 0:50,MOTO,20,M,COLISION ENTRE VEHICULOS,MOTO,"RUTA 6 KM. 67500 , CANELONES"
13/02/2012 05:21,MOTO,37,F,COLISION CON OBSTACULO,-,"AVENIDA GENERAL RIVERA esq. TOMAS BASA„EZ, MONTEVIDEO"
13/02/2012 10:30,PEATON,92,F,ATROPELLO DE PEATON,CAMION,"RUTA ACCESO - AVENIDA DOCTOR CARLOS MARIA RAMIREZ Nro. 2601, MONTEVIDEO"
13/02/2012 21:30,PEATON,77,F,ATROPELLO DE PEATON,MOTO,"AVENIDA GAUCHOS esq. CELEDONIO ROJAS, MALDONADO"
14/02/2012 13:45,MOTO,18,M,COLISION ENTRE VEHICULOS,CAMIONETA,"MARCOS DE LOS REYES esq. CONSTITUCION, MALDONADO"
14/02/2012 15:45,AUTO,20,F,DESPISTE,-,"RUTA 3 KM 130, SAN JOSE"
14/02/2012 15:45,AUTO,37,M,DESPISTE,-,"RUTA 3 KM 130, SAN JOSE"
16/02/2012 17:10,MOTO,19,M,COLISION ENTRE VEHICULOS,OMNIBUS,"LIZARZA, MALDONADO"
17/02/2012 09:45,MOTO,19,M,COLISION ENTRE VEHICULOS,CAMION,"CARLOS LECUEDER  esq. AMARO FERREIRA RAMOS, ARTIGAS"
17/02/2012 16:30,BICICLETA,13,M,COLISION ENTRE VEHICULOS,CAMIONETA,"SARANDI esq. BRASIL, RIVERA"
17/02/2012 17:00,MOTO,14,F,COLISION ENTRE VEHICULOS,AUTO,"ELIAS REGULES esq. ECUADOR, CANELONES"
